conflict_id,field,source_a,source_b,source_a_value,source_b_value,authority,impact,proposed_resolution,needs_user_decision,status
C-01,mainline_definition,docs/quant_stage_plan_20260922/prompts/01_start_C0.md 第7行（用户本轮指令）,AGENTS.md 1.2 第24行（工作树/HEAD ae226d9）,个股主收益＋现金；不靠 ETF 替代个股收益任务,ETF 或其他防御资产作为低回撤底盘；股票因子作为有限风险预算的进攻袖套,user_explicit 优先于 project_rules,资产白名单、风险层分层、输出合同与后续阶段的候选资格都按“底盘/袖套”写过；沿用旧文本会把 ETF 达标当成个股成功（主计划 12.4 明令禁止）,按本目录 agents_amendment_proposal.md 起草 AGENTS 最小修订（改为个股+现金主线）；本阶段不合入、不改本体,yes,open_proposed_amendment
C-02,initial_cash_override,docs/quant_stage_plan_20260922/prompts/01_start_C0.md 第7行,AGENTS.md 1.1 第31行,本轮目标固定 50 万元（不可覆盖）,研究实验默认使用50万元初始权益，具体实验配置可以在预登记中明确覆盖该默认值,user_explicit,本金可被实验配置覆盖时，账户级 CAGR>10%/MDD<20% 门可用换本金规避，跨实验不可比,本轮固定 500000 且不可覆盖；提案把“可覆盖”收窄为仅限非目标评估的诊断实验并须显式登记,yes,open_needs_user
C-03,position_seat_model,docs/quant_stage_plan_20260922/01_master_plan.md 2.1,AGENTS.md 1 第9行,本轮保留最多 4 股票；不强制满席,持仓最多七只：进攻层最多四只股票＋防御层最多三只 ETF,stage_plan（新）对 project_rules（旧）,席位计数、账户风险分层、未来 Day0 计划输出合同；按七席实现会引入未被本轮研究支持的 ETF 防御腿,本轮只启用 4 个股票席位，防御层不启用；AGENTS 提案同步改写为单层模型,yes,open_needs_user
C-04,name_cap_vs_seat_target,AGENTS.md 1.1 第32行,src/quant/research/risk_overlay_runner.py BASE_ATTACK_WEIGHT=0.10（HEAD ae226d9）＋主计划 2.2,单只标的目标仓位上限为 25%,当前控制组每席目标权重 10%,trading_contract（帽） 与 code_fact/研究参数（目标）语义不同,把“帽”读成“目标”会得出每席应 25%，从而在工程阶段悄悄改动资金规则；4 席×10% 的目标暴露是 40% 而不是满仓,合同快照把 name_target_cap=0.25（不可变帽）与 seat_target_weight=0.10（可研究参数，C6/C7 预登记内）分列；本轮不改代码,no,resolved_by_documentation
C-05,entry_price_policy,docs/research/stock_event_research_prereg.md 第92/100/136行,src/quant/research/event_family_signals.py 第232/299/311/663-681行 ＋ src/quant/backtest/band_engine.py 第3560-3600行 实现事实,限价 = 触发日/决策日收盘 × 1.01（追价上限）,×1.01 只是“是否签发”的门槛；实际提交限价 = 决策点锚价（stock anchor 不做 tick 处理）；入场意图行只带 target_weight,conflicting（交易合同 vs 代码事实）,阶段 B“追价上限”归因与 C6-E1 臂定义；若把门槛当限价，E1 会被误判为与 E0 等价而“无处理差异”,C3-B 在 order_id 级追踪 cap→最终限价链条并在固定订单层验收；C6 运行前按 E1 精确定义（limit=floor_to_tick(anchor×1.01)）实现；本阶段只登记不裁定,no,open_for_C3
C-06,fee_rounding_rule,docs/plans/p3-band-contract.md 第60行（要求费用总额与逐笔重算逐分对账）,src/quant/backtest/band_engine.py FeeModel 第379-397行,隐含存在确定的金额舍入位置与方式（逐分一致）,"无任何金额舍入：commission=max(rate×notional,5.0)、stamp=rate×notional 直接返回 binary float；现金/费用/权益累计均为 float64",unknown（双方都未给出规则）,C2 参考账本对账的判定标准；缺此定义无法区分“经济错误”与“数值表示差异”,列为 contract_snapshot 的 BLOCKING 字段；C1 冻结金额舍入位置与方式后再进 C2；本阶段不裁定,yes,blocking_pending_C1
C-07,universe_chinext_permission,AGENTS.md 1 第8行,src/quant/research/screen.py 第64-76行与 eligible_universe 第250-296行,创业板等权限由账户配置决定,CHINEXT_BOARD_PREFIXES 默认排除（注释依据 2026-09-17“账户无创业板权限”），仓库内无账户权限文件证据,code_fact（缺账户证据）,股票池与样本量；若权限实际存在而误排，历史结论适用范围被低估；若实际无权限而纳入，会产生不可执行建议,沿当前被批准范围（排除创业板）；须用户提供账户权限证据才扩池,yes,open_needs_user
C-08,day0_candidate_cap_scope,AGENTS.md 1 第7行与第9行（Day0 最多新增三只）,src/quant/research/event_family_signals.py 第645-681行（每个决策点按事件先到先得接纳直到 MAX_SEATS=4，无“每日新增≤3”约束）,Day0 计划最多给 3 个新候选,研究pipepline 单决策点可签发多单直到 4 席，无单日新增上限,project_rules（面向未来助手输出） vs code_fact（回测实现）,把回测“席位接纳”结论直接套用到未来 Day0 输出会违反 AGENTS 的 3 候选上限；反之把 3 当回测约束会误改席位机制,合同快照分列 max_new_day0_candidates=3（助手输出合同）与 max_positions=4（回测/账户席位合同）；C6 运行前明确本阶段是否仍按 4 席接纳,no,resolved_by_documentation
C-09,validation_window_authority,AGENTS.md 3,主计划 2.1 与 13,默认研究范围沿用现有约束：2015–2024,Dev 2015–2020；2021–2024 新验证须专门授权；2025+ 继续冻结,conflicting（project_rules vs stage_plan/user）,任何 2021–2024 读取的授权依据；沿用 AGENTS 文本会被理解为默认可读，而验证消耗不可逆,按主计划执行（2021–2024 与 2025+ 均需单独授权）；AGENTS 提案同步改写研究范围与冻结条款,yes,open_needs_user
C-10,stage_gate_document_of_record,AGENTS.md 1 第22行,docs/quant_stage_plan_20260922/01_master_plan.md 与本次新建的 docs/plans/stock-first-trust-rebuild.md,本轮实施顺序与验收条件见 docs/plans/daily-short-term-rebuild.md,阶段 C0–C9 的验收条件与验收矩阵见执行包 01_master_plan.md / 02_acceptance_matrix.csv,project_rules vs stage_plan,两个“唯一验收来源”并存会使后续阶段验收依据不明,AGENTS 提案把验收来源指向新计划；旧计划保留为历史记录不删,yes,open_needs_user
