day,session,symbol,exit_reason,source_signal,intent,mapped_order_class,semantics,n_order_rows_that_day,engine_order_events,matched_order_ids,take_half_marked_complete_by_trigger_only,resend_freezes_same_event_id,fifo_vs_per_clip_risk_intent
2019-02-11,am,sz.002299,take_half,2019-02-11,profit,profit sell,partial profit; NOT complete on trigger,1,filled_limit_sell,sz.002299-sell/profit-2019-02-11-am,no,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-02-12,am,sz.002157,take_half,2019-02-12,profit,profit sell,partial profit; NOT complete on trigger,1,filled_limit_sell,sz.002157-sell/profit-2019-02-12-am,no,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-02-13,am,sz.002299,time_exit,2019-02-13,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.002299-sell/profit-2019-02-13-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-02-13,am,sz.002916,time_exit,2019-02-13,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.002916-sell/profit-2019-02-13-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-02-14,am,sz.002024,time_exit,2019-02-14,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.002024-sell/profit-2019-02-14-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-02-14,am,sz.002157,time_exit,2019-02-14,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.002157-sell/profit-2019-02-14-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-04-25,pm,sz.000996,protection,2019-04-25,risk,risk sell,protection line; K=3 fallback armed,0,,,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-04-29,am,sz.002575,stop,2019-04-29,risk,risk sell,stop loss; K=3 fallback armed,1,filled_limit_sell,sz.002575-sell/risk-2019-04-29-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-05-06,am,sz.002079,stop,2019-05-06,risk,risk sell,stop loss; K=3 fallback armed,1,not_penetrated,sz.002079-sell/risk-2019-05-06-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-05-06,pm,sz.002079,stop,2019-05-06,risk,risk sell,stop loss; K=3 fallback armed,1,not_penetrated,sz.002079-sell/risk-2019-05-06-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
