# fcst-reason-struct-full wave(batch) 008 输入渲染（由 render_batch.py 从 row_index.parquet 生成，schema v1）
# 每条记录两行：元信息行 + REASON 行。key_quote 必须是 REASON 文本的逐字子串。
# 词表: demand_up/demand_down/price_up/price_down/orders/cost_up/cost_down/fx/impairment/non_recurring/ma_restructuring/epidemic_shock/accounting/core_ops/other
### ordinal=04200 type=扭亏 ts_code=300711.SZ end_date=20240331 ann_date=20240411 update_flag=0
REASON: 1、报告期内，公司持续强化市场营销与拓展工作，合理组织研发、生产交付等业务活动，推动了主营业务的增长，本期营业收入预计同比增长约16%。2、报告期内，公司持续优化应收款项与存货的运营管理，公司应收款项余额较期初下降、账龄结构得到优化，计提信用减值损失预计同比减少约149万元；公司上年末对部分由于产品升级、停产及故障无法修复的存货进行了专项处置，报告期内，公司存货结构得到优化，计提存货跌价准备同比减少，资产减值损失预计同比减少约105万元。3、报告期内，公司预计非经常性损益对净利润影响额度为211万元，上年同期为107.84万元，同比增加约103.16万元，主要系政府补助同比增加。

### ordinal=04201 type=扭亏 ts_code=300715.SZ end_date=20231231 ann_date=20240130 update_flag=0
REASON: 1、报告期内,公司积极开拓新的市场领域，持续加大经销商开发力度，加快渠道下沉，来自经销渠道的营业收入保持快速增长。同时，公司加强客户风险识别和保障措施，主动收缩部分风险较大的房地产客户订单，报告期内，房地产业务占比在2022年快速下降的基础上进一步下降。此外，报告期内公司综合毛利率同比上升。2、报告期内,房地产行业持续承压，公司遵循谨慎性原则，对部分房地产客户根据会计准则对存在减值迹象的资产充分计提了减值准备。3、报告期内，公司预计非经常性损益金额对净利润的影响约为4,800万元，主要为计入当期损益的政府补助等。

### ordinal=04202 type=扭亏 ts_code=300719.SZ end_date=20231231 ann_date=20240115 update_flag=0
REASON: 公司2023年度归属于上市公司股东的净利润较去年同期增加15,581.54万元至16,581.54万元，实现了扭亏为盈，主要原因如下：1、公司2023年度营业收入较上年同期增长明显，主要系公司配套的重点型号持续放量、重大项目在报告期内中标及交付，促使机载设备业务同比大幅增长；同时，民航业务也因航班复苏而实现了同比增长。2、报告期内，公司加强了人才储备及队伍建设，持续提升了质量和周期管理水平，加强业财融合优化了成本控制能力，为2023年的业务增长及盈利能力提供了良好保障。

### ordinal=04203 type=扭亏 ts_code=300719.SZ end_date=20240630 ann_date=20240717 update_flag=0
REASON: 报告期内，公司各项工作均按照经营计划得到了稳定有序的推进，归属于上市公司股东的净利润同比实现增长，主要因为：防务重点项目投标、民航机载设备国产化推广、销售合同签订及产品交付等工作进展顺利，销售收入实现了同比增长；采购流程优化及专项成本控制取得良好成绩，促进了公司盈利水平的提高；同时，公司收到的政府补助同比增加及信用减值损失同比下降也增加了利润。
