# fcst-reason-struct-full wave(batch) 006 输入渲染（由 render_batch.py 从 row_index.parquet 生成，schema v1）
# 每条记录两行：元信息行 + REASON 行。key_quote 必须是 REASON 文本的逐字子串。
# 词表: demand_up/demand_down/price_up/price_down/orders/cost_up/cost_down/fx/impairment/non_recurring/ma_restructuring/epidemic_shock/accounting/core_ops/other
### ordinal=03000 type=扭亏 ts_code=000668.SZ end_date=20211231 ann_date=20220115 update_flag=1
REASON: 本报告期业绩较上年同期大幅增长，主要原因为：（1）公司出售重庆荣丰股权事项累计收到交易款项达交易总对价的55.33%，达到确认收入时点；（2）公司于2021年10月完成威宇医疗重大资产重组，威宇医疗第四季度业绩纳入合并报表范围。本报告期扣除非经常性损益后的净利润为亏损，主要系扣除了重庆荣丰股权转让相关收益。

### ordinal=03001 type=扭亏 ts_code=000676.SZ end_date=20211231 ann_date=20220129 update_flag=1
REASON: 1、随着国内疫情好转，品牌客户需求逐步回升，公司进一步优化业务结构，将数字营销业务中毛利率较低的实效营销业务进行收缩，更加聚焦核心品牌客户和优质客户，积极拓展市场，数字营销业务毛利率有所提升；同时，公司于2021年9月与华为开展广告代理业务，成为华为HUAWEIAds游戏、社交及工具行业的独家广告代理，也是其影音娱乐、旅游、阅读、金融等互联网行业，以及电子电器、食品饮料、日化美妆等非互联网行业的广告代理商，代理范围包括华为安卓和鸿蒙操作系统，该项新增业务对本报告期数字营销业绩有一定贡献。随着鸿蒙业务拓展，各种智能终端能够加入鸿蒙体系，例如智慧屏、智能音箱、智能电视、自动驾驶等，未来体量还将继续增大。2、美国经济持续复苏，且本报告期公司及SPE等下属海外子公司与由美国财政部和美国司法部代表的美国政府签署美国《国家安全协议》，2020年底平台和政策带来的挑战已得到缓解，海外SPE公司凭借其技术驱动优势、优质分销策略及优化运营经验，互联网媒体业务开展顺利，移动端、自研浏览器、数字媒体业务收入和利润稳步增长，互联网媒体业务多元化发展初显成效。3、上年同期公司对部分子公司的商誉计提了减值，本年度涉及商誉的相关子公司运营良好，不涉及商誉减值事项；上年同期公司对应收账款等大幅计提信用减值损失，本报告期该项计提较少。

### ordinal=03002 type=扭亏 ts_code=000700.SZ end_date=20220930 ann_date=20221015 update_flag=1
REASON: 2022年前三季度，公司业绩变动主要原因为本报告期较上年同期减少MingHuaUSAInc.（以下简称：美国名华）经营亏损约1.8亿元人民币及出售美国名华的资产减值约4.5亿元人民币。2022年前三季度，非经常性损益对净利润的影响约为8,700万元人民币，去年同期为-45,632万元人民币。

### ordinal=03003 type=扭亏 ts_code=000707.SZ end_date=20211231 ann_date=20220119 update_flag=1
REASON: 受国内经济恢复反弹等因素影响，报告期内公司主要产品纯碱、氯化铵销售行情明显好于上年同期，销量较上年同期有所上涨、销价较上年同期大幅度增长，导致本报告期利润好于上年同期。本报告期内公司完成重大资产出售，明显减少公司的有息债务和经营亏损，也有利于本年度利润好转。

### ordinal=03004 type=扭亏 ts_code=000707.SZ end_date=20220331 ann_date=20220412 update_flag=1
REASON: 本报告期公司业绩显著好于上年同期，主要原因为：本报告期公司主导产品纯碱、氯化铵产品销价较上年同期大幅上涨，销量小幅上涨；2021年7月公司完成重大资产出售，本报告期公司的有息债务等负担较上年同期减轻。

### ordinal=03005 type=扭亏 ts_code=000732.SZ end_date=20211231 ann_date=20220129 update_flag=1
REASON: 公司2021年度业绩变动的主要原因如下：1、报告期内公司房地产项目可确认销售收入与上年同期相比大幅增加；2、公司对各类费用和固定成本进行严格管控，在节约开支方面有所成效，期间费用大幅下降；3、部分合作项目盈利，公司确认了相应的投资收益；4、公司上年同期计提了较多存货减值准备；5、公司2021年度非经常性损益的金额主要是投资性房地产公允价值变动产生的收益，以及对处于执行阶段的法律诉讼案件计提损失后的净影响。

### ordinal=03006 type=扭亏 ts_code=000755.SZ end_date=20211231 ann_date=20220128 update_flag=1
REASON: 公司2021年度业绩较上年同期大幅增长的主要原因为：受新冠肺炎疫情影响，2020年2月17日零时起至2020年5月5日24时止，全国收费公路免收车辆通行费。该政策导致公司2020年度营业收入减少。本报告期，前述影响因素已消除，公司所属榆和高速公司、平榆高速公司通行费收入大幅增长。

### ordinal=03007 type=扭亏 ts_code=000762.SZ end_date=20211231 ann_date=20220128 update_flag=1
REASON: 1.2021年度公司聚焦管理体系提升和生产经营改善，充分把握市场脉搏，紧紧抓住锂盐市场上涨趋势，公司加大产品（锂盐产品、铬铁矿）的销售力度，销售毛利大幅提升。2.公司治理体系优化，完善各项制度，加强内部管理控制，严格控制各项费用支出，采取降本增效措施，大幅度降低成本费用。3.紧密配合公司生产经营合理安排资金使用计划，盘活公司闲余资金，开通不同期限的定存，提高了资金使用效率，以上各项措施使得公司本期利润增加。

### ordinal=03008 type=扭亏 ts_code=000766.SZ end_date=20211231 ann_date=20220128 update_flag=1
REASON: 公司实际控制人变更后，在新董事会制定的“整顿、改革、发展”的工作方针的引领下，加大力度化解公司的生存风险，强化措施提升公司经营质量，战略性扭转了公司连续两年亏损的局面，稳步进入发展的上升通道。1、公司在消化商誉问题后，2021年完成不良资产的置换，进一步彻底解决历史遗留问题，公司各项财务指标更加健康，公司的资产质量得到有效提升。2、公司积极适应国家医药政策变化和新冠疫情的形势，顺应中医药新政策的鼓励，着眼于长远发展，着眼行业战略布局，主动进行了一系列的销售变革，构建了新的市场销售模式，通过市场打造品种影响力，销售收入稳步增加。3、公司在内部治理结构和和经营管理上，全面实行一体化、扁平化管理，使得决策和执行机制更加高效，并且进一步健全完善激励奖惩制度，通过降本增效举措，费用支出得到合理有效地控制，提升了公司的利润空间和发展后劲。

### ordinal=03009 type=扭亏 ts_code=000793.SZ end_date=20211231 ann_date=20220129 update_flag=1
REASON: 本报告期与上年同期业绩相比扭亏为盈的主要原因如下：（一）上年度转让陕西华商传媒集团有限责任公司股权后不再纳入合并，减少亏损；本年度公司确认债务重组收益影响公司归属于上市公司股东的净利润约为18,170.00万元，确认持有交易性金融资产公允价值变动以及处置收益影响公司归属于上市公司股东的净利润约为8,887.00万元，属于非经常性损益。（二）上年度计提商誉、长期股权投资、应收款项及存货减值准备171,727.42万元。

### ordinal=03010 type=扭亏 ts_code=000820.SZ end_date=20211231 ann_date=20220125 update_flag=1
REASON: 报告期内公司业绩预计盈利主要系（1）公司子公司江苏省冶金设计院有限公司）（以下简称“江苏院”）因破产重整计划执行完毕及上市公司债务和解协议执行完毕导致的重整收益约15.58亿元；（2）因违规担保债务解除导致的收益约3.8亿元，上述影响均属于非经常性损益。本公告期内，公司实际经营业务自江苏院破产重整执行完毕后逐渐恢复，但因本年度公司债务和解之前的财务费用较高导致扣非后净利润为负。

### ordinal=03011 type=扭亏 ts_code=000822.SZ end_date=20211231 ann_date=20220125 update_flag=1
REASON: 报告期内，受下游需求增加影响，公司主导产品纯碱、溴素销量及销价较上年均有较大幅度增长，2021年度经营业绩实现扭亏为盈。

### ordinal=03012 type=扭亏 ts_code=000851.SZ end_date=20211231 ann_date=20220129 update_flag=1
