# fcst-reason-struct-pilot 输入渲染（由 sample_fcst_reason_pilot.py seed=17 生成）
# 每条记录两行：元信息行 + REASON 行。key_quote 必须是 REASON 文本的逐字子串。
# 词表: demand_up/demand_down/price_up/price_down/orders/cost_up/cost_down/fx/impairment/
#       non_recurring/ma_restructuring/epidemic_shock/accounting/core_ops/other
### ordinal=400 type=预增 ts_code=300548.SZ end_date=20191231 ann_date=20200123 update_flag=0
REASON: 1、2019年，公司实现营业收入约40,711万元，较上年同期增长约48%。2019年净利润实现结果受以下因素影响：（1）报告期内营业收入增长主要体现在有源器件业务，该业务的毛利率水平低于无源器件业务，导致公司整体毛利率水平较上年同期下降;（2）报告期内研发费用支出同比大幅增加；（3）报告期内计提股权激励费用，上年同期未发生该项费用；（4）报告期内新设立的英国子公司受固定支出影响仍处于亏损；（5）报告期内子公司成都迪谱光电科技有限公司未达成收购协议约定的业绩目标，因此对收购形成的商誉计提减值准备，以及预估交易对方将支付的业绩补偿。2、2019年预计非经常性损益对净利润的影响约为1,183万元，主要系政府补助及闲置资金理财收益。上年同期非经常性损益对净利润的影响为974万元。

### ordinal=401 type=预增 ts_code=300671.SZ end_date=20200630 ann_date=20200714 update_flag=0
REASON: 1、报告期内，受新冠肺炎疫情影响，公司产品销售收入较上年同期小幅减少；2、报告期内，公司研发创新投入产品成果显现，公司产品结构优化，产品平均价格和毛利率较去年同期双双上升，归属上市公司股东的净利润大幅增长。3、报告期内，预计非经常性损益对净利润的影响金额约为660万元，上年同期非经常性损益对净利润的影响金额约为370万元。主要系本报告期内收到的政府补助、资产处置收益及银行理财收益较上年同期增加。

### ordinal=402 type=预增 ts_code=300682.SZ end_date=20191231 ann_date=20200122 update_flag=0
REASON: 报告期内，公司围绕产业互联网业务发展战略，根据2019年度经营目标和计划，快速推进各项工作，在公用事业领域市场引领地位巩固加强的同时，公司进一步加大研发投入，强化技术创新，使得基础业务与创新业务均取得可喜进展，公司主营业务收入较去年同期实现大幅增长。同时，2019年上半年公司完成了对邦道科技和易视腾科技的重大资产重组，邦道科技和易视腾科技的业务也取得了快速发展，超额完成了业绩目标。综上因素，2019年归属于上市公司股东的净利润与上年同期相比实现大幅增长。2019年，公司预计实现归属于上市公司股东的净利润为：95,500万元~101,000万元，其中，包含公司通过重大资产重组收购邦道科技产生的一次性投资收益，该笔投资收益的金额为49,900万元，具体计算过程如下：公司在本次重大资产重组之前持有邦道科技40%的股权，按照会计准则的要求，该股权在本次重组完成后合并报表时，应按照其在购买日的公允价值进行重新计量，根据邦道科技的整体估值16亿元计算，其40%股权的公允价值为64,000万元，该公允价值与其账面价值14,100万元之间的差额为49,900万元，此金额计入公司当期投资收益。因此，扣除上述邦道科技股权的一次性投资收益后，公司2019年预计实现的归属于上市公司股东的净利润为：45,600万元~51,100万元。2019年度公司非经常性损益对净利润的贡献金额预计为61,000万元~62,000万元之间，主要系重组收购产生的一次性投资收益、政府补助收入及同一控制下企业合并产生的子公司期初至合并日的当期净损益，去年同期此金额为7,721万元。

### ordinal=403 type=预增 ts_code=600202.SH end_date=20191231 ann_date=20200121 update_flag=0
REASON: （一）主营业务影响2019年度，公司积极进行市场拓展，加强精细化管理，生产能力和产品质量保持稳定提升，营业收入和净利润均实现持续稳定增长。预计2019年年度实现营业收入较上年同期增长，产品毛利率较上年有所上升，净利润较上年同期有较大幅度上升。（二）非经营性损益的影响本期获得的政府补助及参股公司注销等产生的投资收益，增加收益约1,353万元。

### ordinal=404 type=预增 ts_code=600740.SH end_date=20201231 ann_date=20201027 update_flag=1
REASON: 主要系焦炭市场行情好转，原料煤的成本下降。

### ordinal=405 type=预增 ts_code=603988.SH end_date=20191231 ann_date=20200118 update_flag=0
REASON: （一）主营业务影响。公司2019年度业绩增长，主要因受市场影响，行业需求增大，公司主营业务大幅增长。（二）非经营性损益的影响。公司本期持有交易性金融资产的公允价值变动收益与上年同期相比增加约3400万元，对公司本期业绩增长有较大影响。

### ordinal=406 type=预增 ts_code=000009.SZ end_date=20201231 ann_date=20210122 update_flag=0
REASON: 预计公司2020年度归属于上市公司股东的净利润较上年同期上升，主要系公司优化资产结构处置下属子公司带来较大的投资收益，以及本期证券、股权投资收益及公允价值变动收益增加。公司本期处置子公司投资收益约为4亿元，证券、股权投资收益及公允价值变动收益约为5亿元，属于非经常性损益。

### ordinal=407 type=预增 ts_code=000026.SZ end_date=20210630 ann_date=20210703 update_flag=1
REASON: 报告期内,公司紧盯年度任务目标,紧抓消费升级市场机遇,继续夯实精细化管理,“品牌力,产品力,渠道力”建设深入推进,核心竞争优势进一步巩固,渠道及品牌结构持续优化,数字化会员运营体系成效显现,有力地促进了当期业绩的增长.

### ordinal=408 type=预增 ts_code=000403.SZ end_date=20210630 ann_date=20210715 update_flag=1
REASON: 报告期内，公司归属于上市公司股东的净利润同比实现大幅增长，主要因为：1、公司持续推动经营变革，内生与外延并举，外延扩张效果显现，原料血浆供应明显增长，有效保障产品稳定供应，同时不断优化产品销售结构，积极调整产品销售策略，推动销售价格上涨，销售利润同比明显提升；2、不断提升经营管理水平，历史遗留问题基本解决，合理利用募集配套资金，以及新疆德源生物工程有限公司战略合作贡献，公司财务收益同比大幅增加；3、公司完成战略重组哈尔滨派斯菲科生物制药有限公司（以下简称“派斯菲科”），派斯菲科已成为公司全资子公司，自2021年2月1日起纳入合并报表范围，经营情况良好，助力公司业绩增长。

### ordinal=409 type=预增 ts_code=000407.SZ end_date=20210331 ann_date=20210415 update_flag=1
REASON: 公司报告期收益较上年同期增长主要系天然气业务稳定发展,填海土地实现收益所致.

### ordinal=410 type=预增 ts_code=000821.SZ end_date=20210930 ann_date=20211015 update_flag=1
REASON: 助力中国智造成就世界品牌报告期内，公司延续良好的经营态势，各项主营业务均稳健发展。两大核心主业的主营产品产销量明显增长，盈利能力持续增强：一是光伏智能成套装备业务所属行业市场受到国家政策驱动，市场需求旺盛；此外公司以强大技术开发能力和过硬的品质保证，深得行业内头部客户的信任和认可，产能高度饱和，报告期内销售收入和净利润均较上年同期大幅增长。二是智能包装成套装备业务在疫情的有效控制和经济恢复性增长，以及公司产品研发投入加大带来的品质提升，使得公司优质客户占比不断提升，公司产品的市场需求和销售实现增长带动了销售收入和净利润的增长。

### ordinal=411 type=预增 ts_code=000862.SZ end_date=20210331 ann_date=20210406 update_flag=1
REASON: 公司业绩变动主要原因为:与去年同期相比公司所属新能源发电企业利用小时增加,营业收入增加,利润同比增加.

### ordinal=412 type=预增 ts_code=000862.SZ end_date=20210630 ann_date=20210710 update_flag=1
REASON: 公司业绩变动主要原因为:与去年同期相比公司所属新能源发电企业利用小时增加,营业收入增加,利润同比增加.

### ordinal=413 type=预增 ts_code=000948.SZ end_date=20201231 ann_date=20210125 update_flag=0
REASON: 报告期内，公司聚焦战略、聚焦主业，克服新型冠状病毒肺炎疫情的影响，不断巩固和加强金融科技业务，积极拓展软件开发及集成解决方案业务，实现公司2020年度收入规模同比增长；同时公司不断加大研发投入，提升核心竞争力和盈利能力，入选国企改革之“科改示范行动”，持续推动各项改革任务，通过改革激发活力促发展，实现公司2020年度业绩同向上升。

### ordinal=414 type=预增 ts_code=002057.SZ end_date=20210331 ann_date=20210414 update_flag=1
REASON: 2021年第一季度,公司各项产业板块均发展良好,尤其稀土永磁产业业务量持续增长,公司一季度业绩较上年同期实现较大幅度增长.

### ordinal=415 type=预增 ts_code=002064.SZ end_date=20210930 ann_date=20211012 update_flag=1
REASON: 报告期内，化工行业景气度持续上升，市场持续向好，公司紧抓市场机遇，实时调整市场策略，同时强化内部管理，提质增效。公司主导产品产销量、销售价格较上年同期均有较大幅度增长，整体毛利率显著上升，盈利情况同比大幅提升。

### ordinal=416 type=预增 ts_code=002201.SZ end_date=20210331 ann_date=20210414 update_flag=1
REASON: 预告期内,公司主要产品的国内市场需求旺盛,全资子公司山东九鼎新材料有限公司产品量价齐升;同时,公司不断优化产品结构,产品综合盈利能力增强.

### ordinal=417 type=预增 ts_code=002328.SZ end_date=20210331 ann_date=20210415 update_flag=1
REASON: 1,随着国内疫情得到有效控制,公司的主业制造业在本年度恢复正常生产,去年同期受疫情影响生产有较大影响;2,公司的全资子公司上海新朋金属制品有限公司的出口业务较以往有所增长,也给公司创造了利润.

### ordinal=418 type=预增 ts_code=002396.SZ end_date=20210630 ann_date=20210713 update_flag=1
REASON: 2021年半年度业绩变动的主要原因:本年新冠肺炎疫情在国内得到了有效控制,公司部分行业客户需求逐渐复苏,公司的销售订单,发货同比增加,经营保持稳健成长态势.与去年同期相比,上半年公司营业收入较去年同期实现大幅增长,同时产品营业收入结构有所好转,销售毛利率较上年同期上升,进而净利润也较上年同期实现大幅增长.

### ordinal=419 type=预增 ts_code=002422.SZ end_date=20210630 ann_date=20210428 update_flag=1
REASON: 1.2021年上半年随着国内疫情的有效控制，产销量逐步恢复，公司传统输液、非输液产品及新产品销量同比增长；2.伊犁川宁产品受市场环境影响，价格恢复性上涨，利润同比增加；3.公司持续加大创新投入，研发费用较同期增加。

### ordinal=420 type=预增 ts_code=002453.SZ end_date=20210630 ann_date=20210715 update_flag=1
