case_id,source,event,day,session,expected_cash_settled,expected_cash_pending_next_day,expected_shares,expected_mark,expected_position_mv,expected_equity,expected_fee_cumulative,expected_fee_this_step,note
TV-A01,docs/quant_stage_plan_20260922/05_test_vectors.md:7,init,2020-06-02,,500000.00,0.00,0,0,0.00,500000.00,0.00,0.00,初始现金 500000
TV-A01,docs/quant_stage_plan_20260922/05_test_vectors.md:7,buy 5000x10 pm,2020-06-02,pm,449995.00,0.00,5000,10,50000.00,499995.00,5.00,5.00,佣金 max(50000*1e-4,5)=5
TV-A01,docs/quant_stage_plan_20260922/05_test_vectors.md:7,sell 5000x10 pm,2020-06-03,pm,449995.00,49945.00,0,0,0.00,499940.00,60.00,55.00,佣金 5 + 印花 50；待结算款计入权益不额外下降
TV-A01,docs/quant_stage_plan_20260922/05_test_vectors.md:7,settle next am,2020-06-04,am,499940.00,0.00,0,0,0.00,499940.00,60.00,0.00,次一许可半日转可用；终值 499940 总费用 60
TV-A02,docs/quant_stage_plan_20260922/05_test_vectors.md:9,buy 5000x10 pm,2020-06-02,pm,449995.00,0.00,5000,10,50000.00,499995.00,5.00,5.00,同 TV-A01 买入
TV-A02,docs/quant_stage_plan_20260922/05_test_vectors.md:9,sell 5000x12 am,2020-06-03,am,509929.00,0.00,0,0,0.00,509929.00,71.00,66.00,佣金 max(60000*1e-4,5)=6 + 印花 60；终值 509929 盈利 9929
TV-A03,docs/quant_stage_plan_20260922/05_test_vectors.md:11,sell 50000 notional,2023-08-25,sell,500000.00,49945.00,0,0,0.00,549945.00,55.00,55.00,2023-08-28 前印花 0.001 -> 50.00；佣金 5；净 50000-55=49945；权益 500000+49945=549945（R1 更正：原 49445/500000 破坏权益恒等式）
TV-A03,docs/quant_stage_plan_20260922/05_test_vectors.md:11,sell 50000 notional,2023-08-28,sell,500000.00,49970.00,0,0,0.00,549970.00,30.00,30.00,当日及以后印花 0.0005 -> 25.00；佣金 5；净 50000-30=49970；权益 500000+49970=549970（R1 更正：原 49470/500000/55 破坏恒等式且费用误用旧税率）
TV-A04,docs/quant_stage_plan_20260922/05_test_vectors.md:13,buy 1000x10 pm,2020-06-02,pm,89995.00,0.00,1000,10,10000.00,99995.00,5.00,5.00,初始 100000；除息前 10 元
TV-A04,docs/quant_stage_plan_20260922/05_test_vectors.md:13,ex-date dividend 0.50/share,2020-06-03,am,90495.00,0.00,1000,9.50,9500.00,99995.00,5.00,0.00,每手 50 / round_lot 100 x 1000 股 = 500 现金；市值 9500 + 分红 500 = 10000
TV-A05,docs/quant_stage_plan_20260922/05_test_vectors.md:15,buy 1000x10 pm,2020-06-02,pm,89995.00,0.00,1000,10,10000.00,99995.00,5.00,5.00,初始 100000
TV-A05,docs/quant_stage_plan_20260922/05_test_vectors.md:15,split ratio 2,2020-06-03,am,89995.00,0.00,2000,5,10000.00,99995.00,5.00,0.00,1000 x 2 = 2000 股；mark 5；总价值 10000 不变
E1-FIFO,implementer-extension,buy 1000x10 pm (clip A),2020-06-02,pm,89995.00,0.00,1000,10,10000.00,99995.00,5.00,5.00,初始 100000；批次 A 取得日 2020-06-02
E1-FIFO,implementer-extension,buy 500x12 pm (clip B),2020-06-03,pm,83990.00,0.00,1500,12,18000.00,101990.00,10.00,5.00,批次 B 取得日 2020-06-03
E1-FIFO,implementer-extension,sell 1200x11 am,2020-06-04,am,97171.80,0.00,300,11,3300.00,100471.80,28.20,18.20,FIFO 消耗 A 1000 + B 200；剩 B 300；名义 13200 佣金 5 印花 13.20 净 13181.80
E2-DIV-SELL,implementer-extension,buy 1000x10 pm,2020-06-02,pm,89995.00,0.00,1000,10,10000.00,99995.00,5.00,5.00,初始 100000
E2-DIV-SELL,implementer-extension,ex-date dividend 0.50/share,2020-06-03,am,90495.00,0.00,1000,9.50,9500.00,99995.00,5.00,0.00,分红 500 入已结算现金；市值 9500 + 500 = 10000
E2-DIV-SELL,implementer-extension,sell 1000x9.60 am,2020-06-04,am,100080.40,0.00,0,0,0.00,100080.40,19.60,14.60,名义 9600 佣金 5 印花 9.60 净 9585.40
E3-ODDLOT,implementer-extension,buy 300x3 pm,2020-06-02,pm,99095.00,0.00,300,3,900.00,99995.00,5.00,5.00,初始 100000
E3-ODDLOT,implementer-extension,split ratio 1.9848,2020-06-03,am,99095.00,0.00,595,1.50,892.50,99987.50,5.00,0.00,300 x 1.9848 = 595.44 half-up 595；新增 295 股为零股当日可卖
E3b-WHOLELOT,implementer-extension,buy 1000x3 pm,2020-06-02,pm,96995.00,0.00,1000,3,3000.00,99995.00,5.00,5.00,初始 100000；与 E3 对照例（单独账本）
E3b-WHOLELOT,implementer-extension,split ratio 1.3,2020-06-03,am,96995.00,0.00,1300,2,2600.00,99595.00,5.00,0.00,1000 x 1.3 = 1300；新增 300 股为整手，次日才可卖
E4-SETTLE,implementer-extension,buy 1000x10 pm,2020-06-02,pm,15.00,0.00,1000,10,10000.00,10015.00,5.00,5.00,初始 10020；买后已结算现金仅 15
E4-SETTLE,implementer-extension,am sell 1000x10 then am buy 20000x9,2020-06-03,am,,,,,,,同样的上午买入依赖同上午卖出款 -> 参考校验必须报 SettlementTimingError（本行无数字期望）
E4-SETTLE,implementer-extension,pm buy 900x9 (positive control),2020-06-03,pm,1895.00,0.00,900,9,8100.00,9995.00,25.00,5.00,上午卖出款 9985 当日下午起可用；pm 可用 15+9985=10000 买 8100+5；累计费用 5+15+5
