# fcst-reason-struct-full wave(batch) 002 输入渲染（由 render_batch.py 从 row_index.parquet 生成，schema v1）
# 每条记录两行：元信息行 + REASON 行。key_quote 必须是 REASON 文本的逐字子串。
# 词表: demand_up/demand_down/price_up/price_down/orders/cost_up/cost_down/fx/impairment/non_recurring/ma_restructuring/epidemic_shock/accounting/core_ops/other
### ordinal=00600 type=扭亏 ts_code=002504.SZ end_date=20181231 ann_date=20181023 update_flag=1
REASON: 公司在内部提升管理效率加大回款力度；对外调整市场结构重点开拓高质量项目。

### ordinal=00601 type=扭亏 ts_code=002547.SZ end_date=20181231 ann_date=20181026 update_flag=1
REASON: 1.电子元器件分销业务较去年同期盈利增加较多；2.融资规模增长利息支出同比大幅增长；3.5G业务尚未正式商用影响了公司利润预期。

### ordinal=00602 type=扭亏 ts_code=002552.SZ end_date=20181231 ann_date=20181030 update_flag=0
REASON: 1)国际航运市场的持续回暖及我国船舶制造企业新接船舶订单量和手持订单量增长，对公司大型铸锻件主营业务形成良好的支撑，预计全年订单量将保持增长；2）上海复榆原股东支付的业绩补偿款形成的投资收益。

### ordinal=00603 type=扭亏 ts_code=002570.SZ end_date=20181231 ann_date=20181025 update_flag=1
REASON: 配方奶粉新政于2018年正式实施市场趋势趋于明朗行业秩序逐步向好经营策略调整初见成效公司业绩持续改善。

### ordinal=00604 type=扭亏 ts_code=002575.SZ end_date=20180930 ann_date=20181013 update_flag=0
REASON: 主要系公司严控费用且投资的广东粤科融资租赁有限公司第三季度业绩好于预期所致。

### ordinal=00605 type=扭亏 ts_code=002575.SZ end_date=20181231 ann_date=20181017 update_flag=0
REASON: 主要系公司退出玩具生产业务转型玩具渠道经营业务相关费用大幅减少同时理财投资收益增加所致。

### ordinal=00606 type=扭亏 ts_code=002613.SZ end_date=20181231 ann_date=20181023 update_flag=1
REASON: 报告期投资收益和深加工玻璃的订单增长较大。

### ordinal=00607 type=扭亏 ts_code=002623.SZ end_date=20181231 ann_date=20181023 update_flag=0
REASON: 1、公司电子消费类产品订单量增加将对业绩产生积极影响。2、因政府相关部门实施规划调整和政策性拆迁将对公司部分土地房屋进行征收与补偿将对业绩产生积极影响。

### ordinal=00608 type=扭亏 ts_code=002639.SZ end_date=20181231 ann_date=20181026 update_flag=0
REASON: 本报告期签单额及销售额增长较快所致.

### ordinal=00609 type=扭亏 ts_code=002646.SZ end_date=20181231 ann_date=20181025 update_flag=1
REASON: 2017年度公司对收购中酒时代形成的商誉17935.54万元全额计提商誉减值准备实现归属于上市公司股东净利润为-9416.43万元。2018年度为了促进业绩的提升公司在渠道费用、消费者动销方面投入增加；本年度主营业务保持稳定预计2018年度归属于上市公司股东的净利润在7500万元-9500万元之间。

### ordinal=00610 type=扭亏 ts_code=002647.SZ end_date=20181231 ann_date=20181030 update_flag=0
