# fcst-reason-struct-pilot 输入渲染（由 sample_fcst_reason_pilot.py seed=17 生成）
# 每条记录两行：元信息行 + REASON 行。key_quote 必须是 REASON 文本的逐字子串。
# 词表: demand_up/demand_down/price_up/price_down/orders/cost_up/cost_down/fx/impairment/
#       non_recurring/ma_restructuring/epidemic_shock/accounting/core_ops/other
### ordinal=200 type=续亏 ts_code=002310.SZ end_date=20210930 ann_date=20211015 update_flag=1
REASON: 报告期内，公司继续推进业务转型，单季度利润环比提升。公司环保业务和循环经济业务继续加大投入，产值和利润占比逐步提升；生态业务重点推进原有项目的收尾和结算，收入和利润较上年同比下降。报告期内计提资产减值准备金额同比增加，对公司利润造成了影响。

### ordinal=201 type=续亏 ts_code=002547.SZ end_date=20201231 ann_date=20210130 update_flag=0
REASON: 1,非流动资产减值损失影响:公司进一步聚焦主营业务,对非主营业务盈利能力较差,资金利用率不高的业务执行关停并转策略,根据《企业会计准则》,《会计监管风险提示第8号—商誉减值》及公司会计政策等相关规定,经过分析测试,公司判断固定资产,长期股权投资,商誉等长期资产存在减值迹象,计提资产减值损失约4.4亿元.目前固定资产及商誉评估工作正在进行中,减值计提金额以最终的审计,评估结果为准.2,流动资产减值损失影响:报告期内对流动资产计提减值损失约5.6亿元.其中,公司年末对应收账款进行全面梳理,基于谨慎性原则,对应收账款计提信用减值损失约3.1亿元;报告期内因新冠疫情导致市场整体需求下降,竞争加剧,部分产品毛利率明显下降,部分产品退出市场,报告期内存货计提资产减值损失约2.5亿元;最终减值计提金额以审计结果为准.3,非经常性损益影响:公司本期非经常性损益预计影响金额为增加利润约1.8亿元,其中主要系处置子公司华信科和WordStyle股权收益2.54亿元,收到政府补助约0.12亿元,因诉讼产生的预计负债约0.55亿元,非流动资产处置,营业外支出等其他项目合计影响利润金额约为-0.3亿元.4,营收及毛利下降:受全球新冠疫情影响,公司上下游供应商及客户停产,复工延迟,公司业务开展受到较大影响,尤其是海外业务的开拓,导致公司订单减少,同时产能未充分利用,折旧费用等固定成本持续发生,导致相关业务的营收规模和综合毛利率较去年同期下降.

### ordinal=202 type=续亏 ts_code=002693.SZ end_date=20210331 ann_date=20210415 update_flag=1
REASON: 报告期内,公司依托现有的生产经营,主营业务收入有所增长,本报告期内整体业绩较上年同期好转,亏损减少.预计报告期内非经常性损益对净利润的贡献金额约为312万元左右,主要系按期摊销进入损益的政府补助收入及理财收益等所致.

### ordinal=203 type=续亏 ts_code=002780.SZ end_date=20210930 ann_date=20211015 update_flag=1
REASON: 2021年前三季度公司大幅增加了自有品牌和收购品牌的产品研发生产及品牌营销投入，导致亏损，随着秋冬销售旺季的到来，公司业绩将会改善。

### ordinal=204 type=续亏 ts_code=300094.SZ end_date=20201231 ann_date=20210129 update_flag=0
REASON: 1,报告期内,受新型冠状病毒肺炎疫情和中美贸易战等影响,餐饮行业消费受到较大冲击,公司主要餐饮渠道销售受阻,公司毛利率受到一定影响.2,报告期内,公司计提存货减值准备金额预计为20,000万元至27,000万元.3,报告期内,公司非经常性损益对净利润的影响金额约为4,470万元,上年同期金额为-44.94万元.

### ordinal=205 type=续亏 ts_code=300188.SZ end_date=20210331 ann_date=20210331 update_flag=1
REASON: 1,第一季度公司亏损较上年同期减少,主要是由于:公司持续加大研发投入,开展大数据产品化研发,加快项目实施,第一季度大数据业务收入继续保持增长,同时软件收入比重上升,毛利率对比去年同期有所提升.2,公司业绩存在明显的季节性特征,业绩主要集中在下半年尤其是第四季度,第一季度收入占全年收入比重较低,而人员工资及折旧摊销等费用仍需正常发生,因此第一季仍出现亏损,但亏损较上年同期减少.3,预计2021年第一季度公司非经常性损益对净利润的影响金额约为620万元-720万元.

### ordinal=206 type=续亏 ts_code=600983.SH end_date=20201231 ann_date=20210130 update_flag=1
REASON: 2020年一季度由于受国内家电市场需求不足、三洋品牌退出以及疫情影响，公司产生经营亏损1.07亿元，后经公司加强营销工作，加大品牌投入，加快产品结构调整，拓展线上渠道和新零售渠道，大力发展外销，环比逐步改善，惠而浦品牌市场占有率稳步上升，外销迭创新高。但由于内销市场没有显著好转，三洋品牌退出对渠道营销影响巨大，尽管后三季度有明显改善，实现盈亏平衡，全年仍然产生经营亏损。上述因素导致公司本年度经营亏损。

### ordinal=207 type=续亏 ts_code=688509.SH end_date=20210331 ann_date=20210416 update_flag=1
REASON: 2020年一季度，公司生产经营受新冠疫情影响较大，多个项目延迟复工；2021年一季度，公司生产经营状况明显好转，预计业绩较去年同期增幅较大。

### ordinal=208 type=续亏 ts_code=688561.SH end_date=20210630 ann_date=20210429 update_flag=1
REASON: 公司选择了高研发投入且人员快速扩张的发展模式，为建设研发平台、布局“新赛道”产品、提升攻防竞争力、建立全国应急响应中心及进一步加强营销体系建设和渠道建设而进行了大量投入，因此预测年初至下一报告期期末的累计净利润仍可能为亏损。

