evidence_id,path,file_sha256,semantic_sha256,source_commit,run_id,artifact_type,original_status,current_evidence_status,superseded_by,limitations
EV-01,docs/research/stock_cash_baseline.md,314b862c210dcc862e15f83ea6ed28267bd24b5792feb828baa5a992f10f6dad,ad26faeee73d21f77b5d3f97ebc50424c741afe7a8c7ab4cfa558124d0d32d72,ae226d9（工作树已修改）,—,research_report,阶段A基线v4当前有效报告,valid_with_corrections,,"FULL-bin −2.90%/MDD −27.29% 是 dev 2015-2020 内部回放；2026-09-22 撤回 IDEAL−FULL 的“执行摩擦上界”与 −0.64pp 残差的归因读法，残余为成对差异不可加总；本哈希是工作树未提交版本"
EV-02,artifacts/runs/20260921T210100-baseline-replay4-9x4q2/manifest.json,72ff4d52bc99a6fbc68c0586ddebd7b6d588c7d8559e4f6322f53a90d6dc176f,335ef1484238c51b43a7aeb6e6bb06fb79fe0ce852d21bf55ef6ded2a3ed188a,ae226d9,20260921T210100-baseline-replay4-9x4q2,run_manifest,阶段A基线v4回放（当前基线）,valid,,"账本、成交、现金未做独立复算（C2 范围）；同一线路先后有 aborted（8h2k4f）与被复核否决（192112、194738）的版本，引用时必须写明 v4 = 20260921T210100"
EV-03,artifacts/runs/20260921T210100-baseline-replay4-9x4q2/outputs/FULL-bin_daily_equity.parquet,ccb80a6ea0a14b8a82c2d25a651e1f5fd7879c2b2415babfdd943e5331227d37,same,ae226d9,20260921T210100-baseline-replay4-9x4q2,equity_curve,阶段A FULL-bin 日频权益,valid,,"该文件即 −2.90%/−27.29% 的数值来源；C0 未重算，数字取自报告与 manifest 的既有汇总"
EV-04,artifacts/runs/20260921T210100-baseline-replay4-9x4q2/outputs/NOACCT-bin_daily_equity.parquet,b0399b1dea3b852bbf8d947248bb919868e29ea3baab7c5553ce4610dcd0cce4,same,ae226d9,20260921T210100-baseline-replay4-9x4q2,equity_curve,阶段A 无账户级降仓对照,valid,,"五层拆解中“账户级降仓 +10.69pp”的对照腿；该差值属成对曲线差，不与其他行相加"
EV-05,artifacts/runs/20260921T182503-a158-fix-4d8e2f/manifest.json,efd4999d930b68660f5b76ff758ccea64e458f2c4b9b38193499a3b1ef92cb9d,e8cb379f62694e45b3d79d045d9e99633ba75d688c81b638eac329b5761aef2c,ae226d9,20260921T182503-a158-fix-4d8e2f,run_manifest,阶段A 训练层修复版（本体）,valid,,"训练层不涉及退出模块，本轮未重跑（报告自述）；manifest 仅 2.7KB，字段比事件运行少"
EV-06,docs/research/exp-20260921-event-families.md,c33455199d1f3e626b905ed033fe87f615b9b259c4c0bfbf12d357535784dcc7,same,ae226d9（工作树已修改）,20260921T223157-eventfam-main-cb4cff,research_report,阶段B 四候选结果报告（0/4 存活）,valid_with_corrections,,"2026-09-22 更正：①A1/A2 2015 隐含 +14.05%/+2.60%，“六年全负/对 BM1 六年全输”撤回；②B1-floor 归因更正（type 分支 0/102）。判定（0/4 存活、门 1/门 4 未过）不变；本哈希是工作树未提交版本"
EV-07,docs/research/stock_event_research_prereg.md,acce3689d133db69dd1cfc86723f77c337a80804b658d9136ca42cea676f72d2,5e845dc5109250052327db4897277abf68656f74e361ff9d37e3504e7b2e4da1,ae226d9（工作树已修改）,20260921T223157-eventfam-main-cb4cff,prereg,阶段B 运行前冻结预登记,valid,,"第7节为 2026-09-22 运行后披露追加；冻结的第1-6节未改。预登记的“限价 = 决策日收盘×1.01”与实现不一致，见冲突 C-05"
EV-08,artifacts/runs/20260921T223157-eventfam-main-cb4cff/manifest.json,b62ffaaef9cd21fda0f6db3914c78abb895fd8a2b8ca6cc6465ab54af7d6ae81,1f0b4b744071597bdb39b127bea51ee67d4c38d86d382f6179d79310c7aa9e24,ae226d9,20260921T223157-eventfam-main-cb4cff,run_manifest,阶段B 主运行（四主臂+对照）,valid,,"分年聚合函数 year_returns() 漏首年（报告已更正，归档 runner 不改）；B1 触发统计（102/39/35/cancel_cap 4/skip_slots 63）已被归因复算逐项验证相等"
EV-09,artifacts/runs/20260921T223157-eventfam-main-cb4cff/outputs/B1_daily_equity.parquet,0fe04f6eca68d58b0f5ba43e4050cdf3def3c6807897b1979f2d5deddd9c3a69,same,ae226d9,20260921T223157-eventfam-main-cb4cff,equity_curve,B1 臂日频权益,valid,,"归因复算以该文件为逐位相等的断言对象；其本身不是可投资业绩证据"
EV-10,artifacts/runs/20260921T223157-eventfam-main-cb4cff/outputs/B1_fills.parquet,9cb869c3a3d40eb607e71d20813e5c55e2a22dce648e878f64c1570b4e970d30,same,ae226d9,20260921T223157-eventfam-main-cb4cff,fills,B1 臂成交台账,valid,,"归因 v1 用“同标的3日内首笔买入”匹配（缺陷）；v2 改为事件唯一标识关联，35 笔归属不变"
EV-11,artifacts/runs/20260921T223157-eventfam-main-cb4cff/outputs/B1_events.parquet,eb1aca0de463d169ae1d602bf3a51b08c914aef4c73dc04203ec1eee5c864443,same,ae226d9,20260921T223157-eventfam-main-cb4cff,events,B1 臂事件台账,valid,,"不含 v2 新增的 type_upgrade/numeric_revision/numeric_available 标记（这些字段在未提交的 event_family_signals.py 中产生）"
EV-12,artifacts/runs/20260921T223157-eventfam-main-cb4cff/tmp/runner_eventfam.py,f1f4b5c43919d585e6e45b57fd617edd93061c800b93c2178162e3e16aaa7c58,same,ae226d9,20260921T223157-eventfam-main-cb4cff,runner,阶段B 主 runner（归档即执行版本）,valid,,"第834-835行自述“entry chase cap = issue while decision anchor <= trigger price * 1.01”，是判定 ×1.01 为门槛而非限价的证据之一"
EV-13,artifacts/runs/20260921T223216-eventfam-perturb-c56d9d/manifest.json,72f1b993543454718b7c90326ff748869ec99d1639007937c758673b62a0d15f,6c5a1193348e1b7f9bf1a3e75662ff3fae8f25353bdeff1b7cd229414ea57c87,ae226d9,20260921T223216-eventfam-perturb-c56d9d,run_manifest,阶段B 8 扰动臂,valid,,"C0 只登记 manifest，未复核臂内数字；B2 两扰动点符号翻正是既有的稳健性失败记录"
EV-14,artifacts/runs/20260921T223217-eventfam-rnd-6af378/manifest.json,75e77cef8c21874fce48d453f3c76c1757fd68e7f319b2d5407f26ef98709703,e4b417b74304f3e02212d71bcd808531db2cafbc4a4be04002d837c7a54ee096,ae226d9,20260921T223217-eventfam-rnd-6af378,run_manifest,阶段B 随机选股对照（种子 20260921）,valid,,"随机对照 +3.21/−0.44/+3.07% 好于全部候选是“信号无增量”的关键证据；三种子不是独立市场样本"
EV-15,artifacts/runs/20260921T223217-eventfam-delay-416a67/manifest.json,7b7b56d98a0026820ccccbd750ea03c4b9e9d0ce301c495136eb73c9c654aad7,890b8b2f08d6b58f14d3dd7bd6eec960b65d41f0e27225ae2940475393bb4649,ae226d9,20260921T223217-eventfam-delay-416a67,run_manifest,阶段B 延迟压力臂,valid,,"A1 延迟 1 交易日 MDD −29.78% 破 25% 为既有记录；C0 未复算"
EV-16,artifacts/runs/20260921T223217-eventfam-cost-1acd5d/manifest.json,d8f983596baccfa7ff57232f575eddfdab9331d97c746ad3e80e6ef1542a41fa,87ba87fe5f2df599b756581cc27a254c52a6503e3bab93ab0acd8cf38ca2f097,ae226d9,20260921T223217-eventfam-cost-1acd5d,run_manifest,阶段B 成本压力臂,valid,,"佣金×2 与滑点 0.2% 的数字来自该 run 的汇总；C0 未复算"
EV-17,artifacts/runs/20260921T223218-eventfam-ablate-80d1b0/manifest.json,f95ebefe9bf17c30faf4d29888e932a398e2bf0ddd918283f4c41689253fcb42,1228085e22f58bbcee026739b49862768348dde731fce0f7bdb4de79ab286ea5,ae226d9,20260921T223218-eventfam-ablate-80d1b0,run_manifest,阶段B 消融臂,valid,,"消融结论（相对强势/价格确认各 +1.0pp）不足以转正；C0 未复算"
EV-18,docs/research/exp-20260921-eventfam-attribution.md,91bdaf1e83bb946bda956ec06af480b01c69ca2f7ff7acb3d5ec4180170d2b8c,same,ae226d9（工作树已修改）,20260921T230639-eventfam-attrib-f38756,research_report,归因 v1 报告（订单结构选择失败）,superseded_in_scope,20260922T002611-eventfam-attrib2-eed5cf,"§1–§6 为原始版本，B1 因果表述（“损害是限价选择失败”）、“+5.99pp 单一口径”与“全部走 type 分支”均已撤回；B2/A 行未做 C0 级复算，B2 的 +2.40pp 必须与均值对均值 +0.6892pp 并列"
EV-19,artifacts/runs/20260921T230639-eventfam-attrib-f38756/manifest.json,5b092d78ae2848383df848a0eaa12650bb5a69dd926dd7d482b7863905ab5436,8134aa476cf55d45781e3aa682c10609262d9b82ee90153bca8eba6da32897b2,ae226d9,20260921T230639-eventfam-attrib-f38756,run_manifest,归因 v1 运行,superseded_in_scope,20260922T002611-eventfam-attrib2-eed5cf,"缺陷已登记：收益窗终点无 Dev 上界（B2/A 行越界入 2021）、成交匹配非事件唯一标识、post_fill 用成交日收盘锚、未成交未分席位/订单原因"
EV-20,artifacts/runs/20260921T230639-eventfam-attrib-f38756/outputs/event_attribution.csv,d1011ab58134ab8a18e8645250f709c4aec9e23eaf294983a56d3964f5cbf7d2,same,ae226d9,20260921T230639-eventfam-attrib-f38756,attribution_table,归因 v1 事件表,superseded_in_scope,20260922T002611-eventfam-attrib2-eed5cf,"末行 B2 2020-12-29 成交带完整未来 20 日收益，是最初 2020 年末越界的物理证据；该表仍在用任何汇总前必须按受影响清单打折"
EV-21,artifacts/runs/20260922T001213-eventfam-attrib2-837163/manifest.json,5f91474175e20543fb645c4ce15d3636c11170b2df416fd1f1c0505ec780cd83,c953955575b2aa479ceb338034fda526dc01b661064f173573c1959b267593fb,ae226d9,20260922T001213-eventfam-attrib2-837163,run_manifest,attrib2 第1次运行,invalid,20260922T001713/002000/002611,"status=failed（missing engine order for submission sz.002299 2019-01-09 am），无 outputs；未登记进 affected_runs.csv；只能作为失败留痕引用，不得引用其任何数字"
EV-22,artifacts/runs/20260922T001713-eventfam-attrib2-cdf1e1/manifest.json,4d552bcb39b72b4684152b0a0877980ab7953b3eddad0e1bc8620a7751954990,1fa3e07d18c6af1245a927e941affc17d7750eea6af9d5fb0b52a0de2965550e,ae226d9,20260922T001713-eventfam-attrib2-cdf1e1,run_manifest,attrib2 第2次运行,superseded,20260922T002611-eventfam-attrib2-eed5cf,"输出被 FIFO/分红时序修正取代（attribution_lib pin f3f0a6fb…≠ 最终版 0867f740…）；仍可作为“中间留痕”，不得作为当前数字来源"
EV-23,artifacts/runs/20260922T002000-eventfam-attrib2-10a787/manifest.json,0bc8aee55e29d396830a5f4f5da19b3150067dab186642f322ac08a5f54734f6,75bb57474c337350ddf07614d192b5b253532f4eb94350fdbfb4c0babae98f55,ae226d9,20260922T002000-eventfam-attrib2-10a787,run_manifest,attrib2 第3次运行,superseded,20260922T002611-eventfam-attrib2-eed5cf,"同上：attribution_lib pin f3f0a6fb…，被最终版取代"
EV-24,artifacts/runs/20260922T002611-eventfam-attrib2-eed5cf/manifest.json,e34a2d05bb549d97faba824534cfbd980002ac8c226bd1c9be6835d7d801d34e,ca16dc4838f01bab6c7f702b144c6f003b61c132fe40724f8b036ebc5e6d8c19,ae226d9,20260922T002611-eventfam-attrib2-eed5cf,run_manifest,B1 归因 v2（当前有效）,valid,,"零尝试复算：identity 断言（fills/equity/trigger 与主运行逐位相等）由 runner 自述，未经独立复核；只覆盖 B1；运行输入为混合年份日线 parquet（1999–2024），载入后按 DEV_START/DEV_END 过滤并有 assert_frozen 硬校验，但物理文件本身含 2021+ 行（见 access_ledger AL-04）"
EV-25,artifacts/runs/20260922T002611-eventfam-attrib2-eed5cf/outputs/B1_event_funnel.csv,c30ed8477c1814e151b6af384610c19326d1970e1903fb026d3a02c0b6a66cc8,same,ae226d9,20260922T002611-eventfam-attrib2-eed5cf,event_funnel,102 事件逐条漏斗（席位/订单分因）,valid,,"C0 亲自抽查：102 行、slot_full 63 / issued 39、cancel_cap 4、filled 35；39 行签发单 order_price_first == decision_anchor_price 为 39/39（合同-实现落差的直接证据）"
EV-26,artifacts/runs/20260922T002611-eventfam-attrib2-eed5cf/outputs/B1_buy_lots.csv,14d7b953bb93012546ab45dd725429d1ab91d9823f40ee91de698435bce1869b,same,ae226d9,20260922T002611-eventfam-attrib2-eed5cf,buy_lots,35 笔买入批次与 FIFO/分红净损益,valid,,"合计 −¥16,252 与 R 均值 −0.56% 来自该表；未独立复算"
EV-27,artifacts/runs/20260922T002611-eventfam-attrib2-eed5cf/tmp/runner_attrib2.py,0b1eca5dcd310a7347840aecd7df5c8ce54ccfeccf7613e7d1960ddcd0aef944,b5caf3262a30d7b0eaecb685567fa99654f3dbf089ab93fae2751a620bbac862,ae226d9,20260922T002611-eventfam-attrib2-eed5cf,runner,归因 v2 runner（归档即执行版本）,valid,,"manifest 记录 runner sha 起止一致；其“先断言与主运行逐位相等再输出统计”的机制由自身实现，属自证，需独立审阅者重跑确认"
EV-28,docs/evidence/affected_runs.csv,cdfa7360b64662b7c9bc1dee5072fe7af6b1b2c3edff36997a3d365868c8849e,be38cad1a080ca92f9dd57d6a67b2b2c6f27d55ce4ba574309630673c4ec55af,ae226d9（工作树已修改）,—,affected_register,受影响与被取代运行清单,valid_with_gaps,,"缺口：未收录 attrib2 系列 4 个运行（含失败运行 20260922T001213）；未收录本轮基线/训练 run 的取代关系；本哈希是工作树未提交版本"
