gate_id,stage,stage_name,acceptance_requirement,required_evidence,default_severity,status,actual_evidence_path,actual_sha256,reviewer_reference
C0-01,C0,接管与合同冻结,HEAD、dirty状态与新进展核对,evidence_index.csv,BLOCKING,PASS,docs/evidence/trust-rebuild/20260922T013755-trust-c0-c17494/takeover_state.md,1c9f0c0563fc8b7f23a67cf9bb645217f29cf43243e93ca402c49103c5a8fe14,"R1,R2"
C0-02,C0,接管与合同冻结,个股主线与旧ETF主线冲突已列明,contract_conflicts.csv,BLOCKING,PASS,docs/evidence/trust-rebuild/20260922T013755-trust-c0-c17494/contract_conflicts.csv,42b955bf5cff0aca4357f336145a359564564a019143aad28de24110fb645fdc,C-01/C-03/C-08 行
C0-03,C0,接管与合同冻结,本金/费率/时钟/持仓硬边界有来源,contract_snapshot.json,BLOCKING,PASS,docs/evidence/trust-rebuild/20260922T013755-trust-c0-c17494/contract_snapshot.json,7a62c8ff09fa65b56ee8fa02031f1c4c7201dc483ce3b3182647e1a4c208fe58,R5 代码抽验
C0-04,C0,接管与合同冻结,A/B有效、作废、待复验记录区分,evidence_index.csv,BLOCKING,PASS,docs/evidence/trust-rebuild/20260922T013755-trust-c0-c17494/evidence_index.csv,fea27dd0ba17ab4815711766009b277f3a2f0d5f5bb6f24e6d741645463930f1,44 行状态分布
C0-05,C0,接管与合同冻结,样本接触与验证授权未清零,access_ledger.csv,BLOCKING,PASS,docs/evidence/trust-rebuild/20260922T013755-trust-c0-c17494/access_ledger.csv,6917610c2f3411ca93fdfe02544c944a8b916a97159a9e17ca5bc0b115840f30,R6 抽验来源
C0-06,C0,接管与合同冻结,无策略运行、无越权源码修改,change_scope_review.md,BLOCKING,PASS,docs/evidence/trust-rebuild/20260922T013755-trust-c0-c17494/change_scope_review.md,2d31973565c5f7caead8db4655c10860c68759cc218a48d4dff616c103f3c14e,R2 git 快照比对
C0-07,C0,接管与合同冻结,权限实际落实程度明确,permissions_review.md,BLOCKING,PASS,docs/evidence/trust-rebuild/20260922T013755-trust-c0-c17494/permissions_review.md,7225cc684744ff3831efee605f38735f75030cbc84ea207a8f0b71b295297373,procedural_only
C0-08,C0,接管与合同冻结,独立审阅及下一阶段范围确认,independent_review.md,BLOCKING,PASS,docs/evidence/trust-rebuild/20260922T013755-trust-c0-c17494/independent_review.md,c1bb9665c82bd7c261f283bdd2c7c4eab7f98937bbe61711431277a528c0d6b6,审阅者 R1-R7
C1-01,C1,数据隔离与接口,Dev隔离与许可预热范围,dataset_manifest.json,BLOCKING,PASS,docs/evidence/trust-rebuild/20260922T020344-trust-c1-479c46/stage_report.json,3e71b1d2036df9406ee3e2f8df8758bc976c9f85e380ceee0c257674e8251462,R4 沙箱独立扫描+R5 拒绝亲测
C1-02,C1,数据隔离与接口,决策available_at与标签终点断言,temporal_tests.xml,BLOCKING,PASS,docs/evidence/trust-rebuild/20260922T020344-trust-c1-479c46/temporal_tests.xml,01ee487c0886d375eb98c9ad7ad757debb1950fbc085facdfb1022f23c94e205,R3 独立重跑41项
