# fcst-reason-struct-pilot 输入渲染（由 sample_fcst_reason_pilot.py seed=17 生成）
# 每条记录两行：元信息行 + REASON 行。key_quote 必须是 REASON 文本的逐字子串。
# 词表: demand_up/demand_down/price_up/price_down/orders/cost_up/cost_down/fx/impairment/
#       non_recurring/ma_restructuring/epidemic_shock/accounting/core_ops/other
### ordinal=000 type=不确定 ts_code=600909.SH end_date=20181231 ann_date=20181030 update_flag=1
REASON: 现阶段我国证券公司的经营状况与证券市场行情走势密切相关，存在公司经营业绩随证券市场行情变化而发生大幅波动的可能，对未来某一特定期间的经营业绩难以准确预计，为避免对投资者造成误导的风险，公司目前无法对2018年1-12月的经营业绩进行准确估计。

### ordinal=001 type=不确定 ts_code=002337.SZ end_date=20190930 ann_date=20191015 update_flag=1
REASON: 当期确认收入的订单增加，管理成本下降，持有外币产生的汇兑收益增加。20191015:业绩预告出现差异的原因:2019年三季度实现归属于上市公司股东净利润未超过《2019年半年度报告》中预计的业绩区间，但公司在《2019年半年度报告》中披露三季度业绩将实现扭亏为盈，报告期内由于客户现场准备不允分、不具备发货条件等原因，部分项目未在三季度实现发货并确认收入，导致最终实现业绩低于《2019年半年度报告》中的披露的业绩预计上限，未实现扭亏为盈，预计四季度公司业绩将大幅提升。

### ordinal=002 type=不确定 ts_code=601916.SH end_date=20191231 ann_date=20191125 update_flag=1
REASON: 本行资产状况良好，保持稳定增长态势。本行总体经营情况良好，经营模式和营业收入情况稳定，未发生重大不利变化。

### ordinal=003 type=不确定 ts_code=600611.SH end_date=20200630 ann_date=20200430 update_flag=0
REASON: 年初至今的新冠肺炎疫情对公司的交通服务、旅游服务等产业产生阶段性的影响，公司预计存在年初至下一报告期期末的累计净利润与上年同期相比发生较大变动的风险。公司将积极采取降本增效等措施，尽量降低新冠肺炎疫情对公司经营产生的不利影响。

### ordinal=004 type=不确定 ts_code=600708.SH end_date=20201231 ann_date=20201031 update_flag=1
REASON: 公司受新冠疫情影响，预计年初至下一报告期期末的累计净利润与上年同期相比会发生重大变动。

### ordinal=005 type=不确定 ts_code=600909.SH end_date=20200630 ann_date=20200429 update_flag=1
REASON: 现阶段我国证券公司的经营状况与证券市场行情走势密切相关，存在公司经营业绩随证券市场行情变化而发生大幅波动的可能，对未来某一特定期间的经营业绩难以准确预计，为避免对投资者造成误导的风险，公司目前无法对2020年1-6月的经营业绩进行准确估计。

### ordinal=006 type=不确定 ts_code=603136.SH end_date=20200630 ann_date=20200430 update_flag=1
REASON: 受疫情影响，公司2020年第一季度营业收入和归属于上市公司股东的净利润与上年同期相比下滑较大。随着公司景区运营业务的全面恢复，以及营销推广、产品创新等举措的逐步实施，公司旗下产品的游客接待量正在稳步回升，但整体接待规模和销售收入在短期内难以实现重大突破。

### ordinal=007 type=不确定 ts_code=600678.SH end_date=20210630 ann_date=20210430 update_flag=1
REASON: 受宏观经济形势变化影响,公司产品下游行业景气度上升,叠加公司产能提升因素,公司预计年初至下一报告期末的累计净利润与上年同期相比实现增长.

### ordinal=008 type=不确定 ts_code=688981.SH end_date=20221231 ann_date=20221111 update_flag=1
REASON: 四季度，受手机、消费领域需求疲弱，叠加部分客户需要缓冲时间解读美国出口管制新规而带来的影响，营业收入预计环比下降13%到15%，毛利率在30%到32%之间。根据前三季度业绩和四季度指引中值，公司全年营业收入预计在人民币494亿左右，同比增长约38%，毛利率预计在38%左右。全年资本支出计划从人民币320.5亿元上调为人民币456.0亿元。

### ordinal=009 type=不确定 ts_code=688082.SH end_date=20221231 ann_date=20230106 update_flag=1
REASON: 1,受益于国内半导体行业设备需求的不断增加,销售订单持续增长;2,新客户拓展,新市场开发等方面均取得一定成效;3,新产品得到客户认可,订单量稳步增长.

### ordinal=010 type=不确定 ts_code=688082.SH end_date=20241231 ann_date=20240808 update_flag=0
REASON: 首先，公司在国内外市场的业务拓展取得了显著进展，通过加强与现有客户的合作关系并开拓新客户，成功获得了多个重要订单。这些订单为全年营业收入奠定了坚实的基础。其次，公司新产品在半导体行业中逐步获得客户认可，推动销售收入增加。此外，全球半导体行业持续回暖，尤其是中国国内市场需求超出预期，推动了对公司产品的更高需求。最后，通过优化供应链管理和提升生产效率，公司运营效率得到提升，确保了订单的顺利执行。

### ordinal=011 type=扭亏 ts_code=000622.SZ end_date=20180930 ann_date=20181013 update_flag=0
