# fcst-reason-struct-full wave(batch) 009 输入渲染（由 render_batch.py 从 row_index.parquet 生成，schema v1）
# 每条记录两行：元信息行 + REASON 行。key_quote 必须是 REASON 文本的逐字子串。
# 词表: demand_up/demand_down/price_up/price_down/orders/cost_up/cost_down/fx/impairment/non_recurring/ma_restructuring/epidemic_shock/accounting/core_ops/other
### ordinal=04800 type=略减 ts_code=000930.SZ end_date=20181231 ann_date=20190130 update_flag=0
REASON: 本报告期进行重大资产重组，置入同一控制下企业资产，按照企业会计准则规定需将置入资产本期业绩纳入报表，同时对上年同期业绩相应调整。2018年处于玉米“托市-补贴”政策取消的过渡期，玉米加工行业利润空间受到挤压，同时，行业新增产能逐步释放，市场竞争加剧，产品价格相对原料价格上涨传导滞后，公司积极采取原料替换、产品结构调整等措施，毛利得以提升，但毛利的增加不足以弥补补贴下降带来的影响。

### ordinal=04801 type=略减 ts_code=000932.SZ end_date=20190331 ann_date=20190412 update_flag=0
REASON: 虽然2019年一季度受钢材价格下跌、原材料价格上涨等因素影响，钢铁行业利润空间有所收窄，但公司通过持续推进精益生产提高生产效率、加大降本增效和产品结构调整力度，高附加值品种钢占比持续上升，宽厚板、热轧品种钢、无缝钢管仍维持较高毛利率水平；子公司汽车板公司盈利同比上升。公司2019年一季度营业总收入预计同比增长18.11%-19.11%，利润总额同比仅略有下降，实现吨钢利润334-353元/吨，仍保持了较高的盈利水平。公司2019年一季度归属于上市公司股东的净利润预计同比下降25.68%-32.20%，其下降幅度大于公司利润总额下降幅度，主要原因有：一是由于公司子公司华菱湘钢、华菱涟钢2018年一季度因以前年度亏损尚未弥补，不需要缴纳企业所得税，而今年一季度已须按规定缴纳企业所得税；二是公司引入了六家债转股实施机构以32.8亿元增资“三钢”，并已发布草案拟实施重大资产重组，在重组完成前的过渡期内，公司在“三钢”持股比例阶段性有所下降。重组完成后，“三钢”将成为公司的全资子公司，归属于上市公司股东的净利润将相应增加。

### ordinal=04802 type=略减 ts_code=000932.SZ end_date=20190630 ann_date=20190715 update_flag=0
REASON: 2019年上半年，公司坚持“做精做强，区域领先”战略，持续推进精益生产、销研产一体化和营销服务体系建设三大战略支撑体系，加大产品结构调整和降本增效工作力度，品种结构优势进一步体现，实现吨钢利润355~364元。但由于铁矿石等原材料价格上涨，对生产成本造成较大压力，上半年公司业绩比去年同期下滑。

### ordinal=04803 type=略减 ts_code=000932.SZ end_date=20190930 ann_date=20191015 update_flag=0
REASON: 2019年前三季度，由于钢铁新增产能释放加快，上游原材料特别是铁矿石价格持续上涨，钢材价格震荡下跌，钢企利润整体出现下滑。公司克服不利因素，坚持两眼向内，宽厚板、热轧品种钢、无缝钢管等品种仍维持较好毛利率水平，同时下属汽车板公司9月份产、销量创历史新高，盈利能力同比大幅上升。公司2019年前三季度预计实现利润总额580,000~600,000万元，同比下降18%~21%；第三季度预计实现利润总额165,000~185,000万元，环比下降5%~15%。公司2019年前三季度归属于上市公司股东的净利润下降幅度大于利润总额下降幅度，主要原因有：一是由于公司核心子公司2018年半年度因以前年度亏损尚未弥补，不需要缴纳企业所得税，而今年已须按规定缴纳企业所得税；二是公司引入了六家债转股实施机构以32.8亿元增资华菱湘钢、华菱涟钢和华菱钢管（以下简称“三钢”），并正在实施重大资产重组，在重组完成前的过渡期内，公司在“三钢”持股比例阶段性有所下降。今年年末重组完成后，“三钢”将成为公司的全资子公司，归属于上市公司股东的净利润将相应增加。

### ordinal=04804 type=略减 ts_code=000933.SZ end_date=20181231 ann_date=20190131 update_flag=0
REASON: 报告期内，受氧化铝等主要原辅材料价格同比大幅上涨、煤炭产品产销量同比大幅下降等因素影响，公司主要产品盈利能力大幅下降，预计公司实现的归属于上市公司股东的净利润同比减少1.32亿元。1、电解铝业务板块：2018年度，公司永城本部电解铝业务亏损8.51亿元，同比增亏5.88亿元，实现归属于上市公司股东的净利润-8.51亿元，同比减少5.88亿元。2、煤炭业务板块：2018年度，煤炭业务板块实现利润总额5.25亿元，同比减少4.51亿元，实现归属于上市公司股东的净利润2.47亿元，同比减少4.89亿元。3、氧化铝业务板块：受铝土矿等主要原辅材料价格大幅上涨因素影响，报告期内，公司氧化铝板块亏损2.11亿元，实现归属于上市公司股东的净利润-1.56亿元。4、房产业务板块：报告期内，公司全资子公司河南神火光明房地产开发有限公司转让其所持许昌明锦置业有限公司100%股权，受转让产生的投资收益影响，公司房地产板块实现归属于上市公司股东的净利润0.80亿元。5、报告期内，公司本部承担财务费用2.43亿元。6、非经常性损益：报告期末，基于谨慎性原则，公司对下属整合煤矿的在建工程、公司子公司商丘阳光铝材有限公司的生产线和公司合并河南有色金属控股股份有限公司时取得的商誉进行了减值测试，拟分别计提资产减值准备2.70亿元、1.39亿元、0.65亿元。报告期内，因薛湖煤矿停产，形成停工损失2.29亿元。因氧化铝市场价格下跌，公司子公司河南有色汇源铝业有限公司拟于报告期末计提存货跌价准备1.67亿元。

### ordinal=04805 type=略减 ts_code=000950.SZ end_date=20181231 ann_date=20190118 update_flag=0
REASON: 公司2017年三季度完成重大资产重组，公司将原有除所持广州东凌国际投资股份有限公司（000893.SZ）706.90万股股票外的其他全部资产、负债及人员置出公司，确认投资收益6.31亿元，本报告期内无该项收益。

### ordinal=04806 type=略减 ts_code=000973.SZ end_date=20190331 ann_date=20190413 update_flag=0
REASON: 面对复杂多变的国内外经济环境，公司上下努力拼搏，攻坚克难，但受行业竞争加剧、人工成本上升以及部分产品市场萎缩等因素影响，2019年第一季度归属于上市公司股东的净利润比2018年同期有所下降。

### ordinal=04807 type=略减 ts_code=002003.SZ end_date=20181231 ann_date=20190119 update_flag=0
REASON: 1、由于我国北斗卫星导航系统正处于第二代向第三代技术升级过程中，加上军队体制编制改革以及行业周期性等因素影响，使得公司控股子公司北京中捷时代航空科技有限公司（以下简称“中捷时代”）在2018年度来自军方等核心客户的订单减少较多。受上述因素影响，中捷时代2018年度经营业绩同比大幅下降。2、2016年5月，公司因收购中捷时代51%的股权形成了14,502.19万元的商誉资产；后因中捷时代2016年度业绩未达预期，计提商誉减值准备710.48万元。截止2018年三季度末，公司因收购中捷时代形成的商誉净值为13,791.71万元。基于谨慎性原则，公司判断该商誉存在减值的风险，计划在年末计提相应的商誉减值准备。

### ordinal=04808 type=略减 ts_code=002051.SZ end_date=20191231 ann_date=20191228 update_flag=0
REASON: 报告期内，国际经济形势复杂，经济动能放缓，使得部分项目生效滞后，导致报告期营业收入出现一定程度的下滑，公司全年业绩同比下降。

### ordinal=04809 type=略减 ts_code=002064.SZ end_date=20190331 ann_date=20190329 update_flag=0
REASON: 报告期内，氨纶市场竞争激烈，产品销售价格较上年同期降低；公司贯彻“满产销、优结构、强优势、防风险”经营方针，优化产品结构，积极开拓重点目标市场，产品销量较上年同期有所提升。

### ordinal=04810 type=略减 ts_code=002067.SZ end_date=20181231 ann_date=20190220 update_flag=0
